用户ID,评论内容,点赞数,发布时间,设备来源
1548674942,怪不得刹车约等于无，原来原装分泵质量问题漏油，刹车碟都是刹车油，人都颠……顺手换一套V4，体验一下撞墙式刹车感<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span> ,96,Sun Apr 27 13:43:49 +0800 2025,
5780974966,【柴知道：8年246起“刹车失灵”，全是司机的锅？为什么电车总是“刹车失灵”？】过去几年里，不论是特斯拉，还是比亚迪、理想、蔚来、小鹏，但凡叫得出名的新能源车企，基本都闹出过“刹车失灵”事件。而且不论最终调查结果如何，总有一拨人坚信是电车的刹车设计有问题，同时又有另一拨人，认为是车主 ...<a href="/status/4972741398364904">全文</a>,1387,Mon Nov 27 17:30:01 +0800 2023,微博视频号
2549621477,大车司机路口刹不住，司机想打方向躲避，撞到了路牌和监控。 <a  href="https://video.weibo.com/show?fid=1034:5160008128593963" data-hide=""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class="surl-text">交通事儿的微博视频</span></a> ,88,Sun Apr 27 11:43:35 +0800 2025,iPhone客户端
6659852997,高速开车遇到了刹车失灵的情况，我们该如何正确应对 <a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B1%BD%E8%BD%A6%E7%9F%A5%E8%AF%86%23&isnewpage=1" data-hide=""><span class="surl-text">#汽车知识#</span></a>刹车失灵 #安全驾驶 <a  href="https://video.weibo.com/show?fid=1034:4966498091860008" data-hide=""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class="surl-text">阿峰说车用车的微博视频</span></a> ,2910,Fri Nov 10 12:03:10 +0800 2023,微博视频号
39297060,小米SU7车主驾驶中刹车失灵，工作人员称有接头接错 （界面新闻） ,38,Thu Mar 13 08:12:27 +0800 2025,
6420207784,网友自曝：驾驶新能源汽车刹车突然失灵，电门自动提速，60码涨至130码！！<br />网友：真失灵的话，车主简直教科书般自救。 <a  href="https://video.weibo.com/show?fid=1034:5124127095455751" data-hide=""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class="surl-text">1024专员的微博视频</span></a> ,431,Sat Jan 18 11:23:55 +0800 2025,微博视频号
1302909463,理想L7刹车没反应，发生碰撞后第一反应就是车的问题。<br /><br />女车主怀疑了车、怀疑了地、怀疑了雨，就是不怀疑自己<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span><br /><br />人就是这样，犯错误之后，总试图用一些客观因素掩盖自己的问题。你要说无知也好，硬犟也罢，这就是人性吧……<br /><br />这个你就让厂家给你数据吧，很明显是操作失误嘛，还有啥可纠结的<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span> ...<a href="/status/5116170376317849">全文</a>,207,Fri Dec 27 12:25:34 +0800 2024,iPhone 15 Pro
3988526755,赛力斯这事上热搜了，也就是去年南粤鉴定问界M7那个事，说刹车失灵，并且质疑数据被篡改。赛力斯后面声明表示没有对任何数据进行修改。<br /><br />从赛力斯公布的内容来看，大概率是油门当刹车了。等等结果呗，别的不说，现在汽车刹车失灵可能性太小了。 ,269,Tue Apr 08 19:26:23 +0800 2025,荣耀Magic7
6601716410,知道小米官方为什么第一时间给出SU7车祸行驶数据吗？我看了一下数据，有一个最后撞击时速97公里。大家记住这个数据很重要，即使小米没说这个数据是什么意思。按照97公里的时速撞上东西，司机就算系着安全带，生还的可能性也很低。要知道，这个速度撞上驾驶员生还几率只有5%。<br /><br />去年某车企被曝刹车失灵 ...<a href="/status/5151110060313436">全文</a>,1741,Wed Apr 02 22:23:24 +0800 2025,REDMI K80
7774804567,长下坡时货车刹车失灵，26多公里长下坡，脚都踩软了 <a  href="https://video.weibo.com/show?fid=1034:5164114029510683" data-hide=""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class="surl-text">_一起毁灭-的微博视频</span></a> ,256,Thu May 08 19:37:08 +0800 2025,微博视频号
